City,Latitude,Longitude,Hotel Name
zhigansk,66.77,123.37,
road town,18.42,-64.62,Sea View Hotel
balakhta,55.38,91.6,
mildura,-34.2,142.15,Quality Hotel Mildura Grand
kachug,53.96,105.88,Три Сосны Гостинница
san rafael,-34.62,-68.33,Azalea Luxury Lodge
lincoln,40.8,-96.67,Hilton Garden Inn Lincoln Downtown/Haymarket
wakema,16.6,95.18,AungKaDay Hotel
marienburg,54.04,19.03,Hotel Grot
el vigia,8.62,-71.65,Bari Hotel
poladpur,17.98,73.47,
buraydah,26.33,43.98,Mövenpick Hotel Qassim
vardo,70.37,31.11,Meieriet Restaurant
dayong,25.02,118.29,Yongchang Hotel
almaznyy,48.04,40.05,Gostinitsa Zverevo
chernyshevskiy,63.01,112.47,
pshekhskaya,44.7,39.8,Inn Gostinnyi Dvor
capanema,-1.2,-47.18,Hotel Legal
cicevac,43.72,21.44,Aleksandar
bambanglipuro,-7.95,110.28,Puri Brata
znamenskoye,57.13,73.83,
winnemucca,40.97,-117.74,Best Western Plus Gold Country Inn
escarcega,18.61,-90.75,Hotel Tutul Ha
amuntai,-2.42,115.25,Minosa Resort Hotel
kargasok,59.06,80.86,Gostinitsa Grenada
yatou,37.15,122.38,Jinyue International Hotel
xichang,27.9,102.26,Xichang Minshan Hotel
ahuimanu,21.44,-157.84,Paradise Bay Resort
tooele,40.53,-112.3,Holiday Inn Express & Suites Tooele
yeppoon,-23.13,150.73,Oshen Apartments Yeppoon
senno,59.53,33.92,
adrar,20.5,-10.07,
puerto del rosario,28.5,-13.86,Hotel El Mirador
yenagoa,4.92,6.26,Aridolf Resort Wellness and Spa
visavadar,21.38,70.68,
haines junction,60.75,-137.51,Kluane Park Inn
cape coast,5.11,-1.25,Balance sheet hotel
zachepylivka,49.19,35.24,
buenaventura,3.88,-77.03,Plazamar Hotel Boutique
shingu,33.73,135.98,Gran Hotel
pilot butte,50.47,-104.42,Ramada by Wyndham Emerald Park/Regina East
la baule-escoublac,47.29,-2.36,Hôtel Mercure La Baule Majestic
coxim,-18.51,-54.76,Hotel Pintado Azul
amapa,1.0,-52.0,
shediac,46.22,-64.54,Maison Tait House Restaurant
dhidhdhoo,6.88,73.1,
saint george,37.1,-113.58,Red Lion Hotel & Conference Center St. George
sur,22.57,59.53,Sur Grand Hotel
constitucion,-35.33,-72.42,Bed & Breakfast Sweet Dreams
kermanshah,34.31,47.06,Kourosh Hotel
sarakhs,36.54,61.16,Doosti Hotel
pak phanang,8.35,100.2,ตะลุมพุก ซีฟู้ด แอนด์ รีสอร์ท
chapais,49.78,-74.85,Hôtel Opémiska
biskamzha,53.45,89.53,
ergani,38.27,39.76,Ak-El Lokatasi Ciğer Salonu Otel Ve Pansiyon
